date,age,location,realized7
2023-01-12,05-14,DE,38
2023-01-12,15-34,DE,411
2023-01-12,35-59,DE,943
2023-01-12,60-79,DE,2578
2023-01-12,80+,DE,3140
2023-01-12,alle,DE,7256
2023-01-11,00-04,DE,147
2023-01-11,05-14,DE,39
2023-01-11,15-34,DE,441
2023-01-11,35-59,DE,1028
2023-01-11,60-79,DE,2756
2023-01-11,80+,DE,3405
2023-01-11,alle,DE,7823
2023-01-10,00-04,DE,153
2023-01-10,05-14,DE,41
2023-01-10,15-34,DE,455
2023-01-10,35-59,DE,1093
2023-01-10,60-79,DE,2964
2023-01-10,80+,DE,3706
2023-01-10,alle,DE,8418
2023-01-09,00-04,DE,146
2023-01-09,05-14,DE,36
2023-01-09,15-34,DE,471
2023-01-09,35-59,DE,1134
2023-01-09,60-79,DE,3135
2023-01-09,80+,DE,4000
2023-01-09,alle,DE,8929
2023-01-08,00-04,DE,147
2023-01-08,05-14,DE,36
2023-01-08,15-34,DE,477
2023-01-08,35-59,DE,1150
2023-01-08,60-79,DE,3162
2023-01-08,80+,DE,4065
2023-01-08,alle,DE,9045
2023-01-07,00-04,DE,150
2023-01-07,05-14,DE,33
2023-01-07,15-34,DE,481
2023-01-07,35-59,DE,1166
2023-01-07,60-79,DE,3201
2023-01-07,80+,DE,4108
2023-01-07,alle,DE,9147
2023-01-06,00-04,DE,154
2023-01-06,05-14,DE,38
2023-01-06,15-34,DE,499
2023-01-06,35-59,DE,1216
2023-01-06,60-79,DE,3415
2023-01-06,80+,DE,4417
2023-01-06,alle,DE,9747
2023-01-05,00-04,DE,165
2023-01-05,05-14,DE,37
2023-01-05,15-34,DE,522
2023-01-05,35-59,DE,1267
2023-01-05,60-79,DE,3614
2023-01-05,80+,DE,4697
2023-01-05,alle,DE,10308
2023-01-04,00-04,DE,185
2023-01-04,05-14,DE,45
2023-01-04,15-34,DE,548
2023-01-04,35-59,DE,1360
2023-01-04,60-79,DE,3858
2023-01-04,80+,DE,5023
2023-01-04,alle,DE,11025
2023-01-03,00-04,DE,218
2023-01-03,05-14,DE,53
2023-01-03,15-34,DE,596
2023-01-03,35-59,DE,1525
2023-01-03,60-79,DE,4358
2023-01-03,80+,DE,5662
2023-01-03,alle,DE,12418
2023-01-02,00-04,DE,187
2023-01-02,05-14,DE,44
2023-01-02,15-34,DE,478
2023-01-02,35-59,DE,1239
2023-01-02,60-79,DE,3541
2023-01-02,80+,DE,4600
2023-01-02,alle,DE,10094
2023-01-01,00-04,DE,190
2023-01-01,05-14,DE,42
2023-01-01,15-34,DE,478
2023-01-01,35-59,DE,1244
2023-01-01,60-79,DE,3581
2023-01-01,80+,DE,4596
2023-01-01,alle,DE,10137
2022-12-31,00-04,DE,190
2022-12-31,05-14,DE,41
2022-12-31,15-34,DE,480
2022-12-31,35-59,DE,1233
2022-12-31,60-79,DE,3610
2022-12-31,80+,DE,4611
2022-12-31,alle,DE,10174
2022-12-30,00-04,DE,198
2022-12-30,05-14,DE,39
2022-12-30,15-34,DE,493
2022-12-30,35-59,DE,1319
2022-12-30,60-79,DE,3757
2022-12-30,80+,DE,4817
2022-12-30,alle,DE,10633
2022-12-29,00-04,DE,184
2022-12-29,05-14,DE,40
2022-12-29,15-34,DE,508
2022-12-29,35-59,DE,1352
2022-12-29,60-79,DE,3848
2022-12-29,80+,DE,4901
2022-12-29,alle,DE,10844
2022-12-28,00-04,DE,165
2022-12-28,05-14,DE,42
2022-12-28,15-34,DE,517
2022-12-28,35-59,DE,1396
2022-12-28,60-79,DE,3928
2022-12-28,80+,DE,4875
2022-12-28,alle,DE,10932
2022-12-27,00-04,DE,129
2022-12-27,05-14,DE,41
2022-12-27,15-34,DE,519
2022-12-27,35-59,DE,1366
2022-12-27,60-79,DE,3833
2022-12-27,80+,DE,4655
2022-12-27,alle,DE,10554
2022-12-26,00-04,DE,170
2022-12-26,05-14,DE,57
2022-12-26,15-34,DE,661
2022-12-26,35-59,DE,1753
2022-12-26,60-79,DE,4916
2022-12-26,80+,DE,6038
2022-12-26,alle,DE,13606
2022-12-25,00-04,DE,165
2022-12-25,05-14,DE,58
2022-12-25,15-34,DE,662
2022-12-25,35-59,DE,1768
2022-12-25,60-79,DE,4944
2022-12-25,80+,DE,6107
2022-12-25,alle,DE,13715
2022-12-24,00-04,DE,163
2022-12-24,05-14,DE,63
2022-12-24,15-34,DE,665
2022-12-24,35-59,DE,1785
2022-12-24,60-79,DE,4953
2022-12-24,80+,DE,6171
2022-12-24,alle,DE,13810
2022-12-23,00-04,DE,156
2022-12-23,05-14,DE,60
2022-12-23,15-34,DE,660
2022-12-23,35-59,DE,1760
2022-12-23,60-79,DE,4899
2022-12-23,80+,DE,6100
2022-12-23,alle,DE,13647
2022-12-22,00-04,DE,154
2022-12-22,05-14,DE,58
2022-12-22,15-34,DE,643
2022-12-22,35-59,DE,1751
2022-12-22,60-79,DE,4823
2022-12-22,80+,DE,5967
2022-12-22,alle,DE,13408
2022-12-21,00-04,DE,148
2022-12-21,05-14,DE,55
2022-12-21,15-34,DE,623
2022-12-21,35-59,DE,1680
2022-12-21,60-79,DE,4685
2022-12-21,80+,DE,5847
2022-12-21,alle,DE,13051
2022-12-20,00-04,DE,155
2022-12-20,05-14,DE,51
2022-12-20,15-34,DE,595
2022-12-20,35-59,DE,1637
2022-12-20,60-79,DE,4459
2022-12-20,80+,DE,5695
2022-12-20,alle,DE,12604
2022-12-19,00-04,DE,155
2022-12-19,05-14,DE,46
2022-12-19,15-34,DE,586
2022-12-19,35-59,DE,1635
2022-12-19,60-79,DE,4363
2022-12-19,80+,DE,5543
2022-12-19,alle,DE,12344
2022-12-18,00-04,DE,165
2022-12-18,05-14,DE,46
2022-12-18,15-34,DE,587
2022-12-18,35-59,DE,1631
2022-12-18,60-79,DE,4344
2022-12-18,80+,DE,5504
2022-12-18,alle,DE,12291
2022-12-17,00-04,DE,161
2022-12-17,05-14,DE,44
2022-12-17,15-34,DE,576
2022-12-17,35-59,DE,1628
2022-12-17,60-79,DE,4339
2022-12-17,80+,DE,5488
2022-12-17,alle,DE,12249
2022-12-16,00-04,DE,162
2022-12-16,05-14,DE,45
2022-12-16,15-34,DE,578
2022-12-16,35-59,DE,1622
2022-12-16,60-79,DE,4304
2022-12-16,80+,DE,5415
2022-12-16,alle,DE,12139
2022-12-15,00-04,DE,157
2022-12-15,05-14,DE,50
2022-12-15,15-34,DE,579
2022-12-15,35-59,DE,1555
2022-12-15,60-79,DE,4189
2022-12-15,80+,DE,5338
2022-12-15,alle,DE,11880
2022-12-14,00-04,DE,160
2022-12-14,05-14,DE,42
2022-12-14,15-34,DE,554
2022-12-14,35-59,DE,1537
2022-12-14,60-79,DE,4073
2022-12-14,80+,DE,5246
2022-12-14,alle,DE,11624
2022-12-13,00-04,DE,158
2022-12-13,05-14,DE,41
2022-12-13,15-34,DE,526
2022-12-13,35-59,DE,1501
2022-12-13,60-79,DE,3937
2022-12-13,80+,DE,4995
2022-12-13,alle,DE,11169
2022-12-12,00-04,DE,152
2022-12-12,05-14,DE,46
2022-12-12,15-34,DE,501
2022-12-12,35-59,DE,1424
2022-12-12,60-79,DE,3725
2022-12-12,80+,DE,4770
2022-12-12,alle,DE,10625
2022-12-11,00-04,DE,147
2022-12-11,05-14,DE,45
2022-12-11,15-34,DE,498
2022-12-11,35-59,DE,1411
2022-12-11,60-79,DE,3719
